what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1376000298101
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1376000298102
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1376000298102
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1376000298103
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1376000298103
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1376000298104
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1376000298105
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1376000298105
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1376000298106
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1376000298106
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1376000298107
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1376000298108
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1376000298108
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1376000298109
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1376000298109
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1376000298110
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1376000298111
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1376000298112
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1376000298112
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1376000298112
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1376000298113
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1376000298113
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1376000298114
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1376000298115
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1376000298115
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1376000298115
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1376000298116
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1376000298116
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1376000298117
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1376000298117
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1376000298118
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1376000298118
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1376000298118
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1376000298118
os,sysinfo,,,"linux",1376000298121
arch,sysinfo,,,"x86",1376000298121
ws,sysinfo,,,"gtk",1376000298121
locale,sysinfo,,,"ja_JP",1376000298121
processors,sysinfo,,,"2",1376000298121
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376000298121
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1376000298121
java.specification.name,sysinfo,,,"Java Platform API Specification",1376000298121
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376000298121
java.specification.version,sysinfo,,,"1.6",1376000298121
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1376000298121
java.version,sysinfo,,,"1.6.0_23",1376000298121
java.vm.info,sysinfo,,,"mixed mode",1376000298121
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1376000298121
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376000298121
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376000298121
java.vm.specification.version,sysinfo,,,"1.0",1376000298121
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1376000298121
java.vm.version,sysinfo,,,"19.0-b09",1376000298121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376000306156
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1376000317669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1376000317717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1376000317718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376000317737
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1376000318243
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1376000318282
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1376000318324
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1376000318388
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1376000322418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376000322671
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1376000323271
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1376000323291
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1376000323292
